Designator,Mid X,Mid Y,Rotation,Layer
C1,71.35,-140.75,270.0,top
C10,204.625,-110.5375,90.0,top
C11,69.525,-87.75,90.0,top
C14,200.175,-136.425,270.0,top
C16,154.05,-97.25,180.0,top
C18,154.05,-99.975,180.0,top
C19,149.125,-100.15,0.0,top
C2,211.28,-120.32,90.0,top
C20,149.075,-97.7,0.0,top
C3,162.19,-120.61,90.0,top
C4,164.76,-120.65,90.0,top
C5,133.02,-126.38,270.0,top
C6,130.72,-126.21,270.0,top
C7,140.0075,-128.41,180.0,top
C8,194.27,-120.56,270.0,top
C9,139.99,-130.75,180.0,top
D1,145.6825,-121.1,0.0,top
D2,145.05,-102.53,180.0,top
D4,155.02,-129.97,90.0,top
D5,143.065,-133.01,0.0,top
D7,148.775,-94.05,180.0,top
J1,154.525,-118.88,180.0,top
J10,165.75,-92.1,0.0,top
J11,170.555,-109.425,90.0,top
J2,132.755,-110.81,0.0,top
J3,209.56,-99.18,0.0,top
J4,208.65,-130.49,0.0,top
J5,240.9,-117.225,270.0,top
J6,219.575,-117.825,90.0,top
J7,230.62,-126.95,270.0,top
J8,229.705,-108.725,90.0,top
J9,152.6,-138.025,180.0,top
MK1,207.9,-110.325,180.0,top
MK2,73.075,-87.8,0.0,top
MK5,208.1,-120.225,0.0,top
MK6,74.7,-140.475,180.0,top
MOUSE-BITE-3MM-SLOT,138.86,-115.0,0.0,top
MOUSE-BITE-3MM-SLOT-2,148.92,-114.96,0.0,top
MOUSE-BITE-3MM-SLOT-3,170.25,-114.92,0.0,top
MOUSE-BITE-3MM-SLOT-4,180.02,-114.97,0.0,top
MOUSE-BITE-3MM-SLOT-5,200.32,-114.96,0.0,top
MOUSE-BITE-3MM-SLOT-6,210.27,-115.03,0.0,top
MOUSE-BITE-3MM-SLOT-7,214.05,-105.025,90.0,top
MOUSE-BITE-3MM-SLOT-8,214.025,-125.3,90.0,top
Q1,174.9,-101.8625,90.0,top
R1,151.0,-126.39,0.0,top
R10,174.9,-97.75,180.0,top
R11,196.72,-120.6,270.0,top
R12,145.97,-132.04,270.0,top
R13,176.825,-105.65,180.0,top
R15,145.125,-95.125,90.0,top
R2,157.75,-126.3,180.0,top
R20,167.77,-138.275,180.0,top
R3,78.075,-140.675,270.0,top
R4,204.9,-120.3,90.0,top
R6,135.4,-103.51,180.0,top
R7,130.27,-103.7,0.0,top
R8,211.2,-110.6,270.0,top
R9,76.375,-87.8,90.0,top
SW1,194.725,-135.9,0.0,top
SW2,188.25,-90.225,180.0,top
U1,180.18,-128.24,0.0,top
U2,151.025,-107.375,90.0,top
U3,139.2,-121.21,270.0,top
